id,idade,salario,sexo,renda_extra,tempo_emprego,setor,nacionalidade,status_emprego
1,56.0,106515.40569130474,Masculino,1490.378464400453,9.439864236369502,Saúde,Estrangeiro,Empregado
2,46.0,64018.507087055885,Feminino,,5.741790237750717,Saúde,Brasileiro,Empregado
3,32.0,74880.7432671389,Feminino,1490.378464400453,7.416354014962172,Tecnologia,Brasileiro,Empregado
4,60.0,132248.28174033822,Masculino,,7.282525155274215,Educação,Estrangeiro,Empregado
5,,26128.80051619378,Masculino,,20.514515175079644,Saúde,Brasileiro,Empregado
6,38.0,98551.57916757568,Masculino,1490.378464400453,33.791903247525845,Saúde,Estrangeiro,Desempregado
7,56.0,99839.24751251345,Feminino,,3.184203079700225,Saúde,Brasileiro,Empregado
8,,74582.47204294524,Feminino,1490.378464400453,28.278252739736907,Educação,Estrangeiro,Desempregado
9,40.0,54628.48213854202,Masculino,1490.378464400453,26.173858386114304,Educação,Estrangeiro,Empregado
10,28.0,54334.25478269388,Masculino,,34.90079807317449,Tecnologia,Estrangeiro,Desempregado
11,,135463.70870759408,Feminino,,9.765902420276289,Saúde,Estrangeiro,Desempregado
12,41.0,80253.0467228572,Masculino,,18.004394347401185,Varejo,Estrangeiro,Empregado
13,53.0,66361.17037364648,Masculino,,37.033094977740696,Educação,Brasileiro,Empregado
14,57.0,81097.19672892538,Masculino,,26.399738005412686,Tecnologia,Brasileiro,Desempregado
15,41.0,108673.80018242016,Feminino,,15.550736514463877,Saúde,Estrangeiro,Desempregado
16,20.0,43219.57103059396,Feminino,1490.378464400453,5.2564953142107385,Varejo,Brasileiro,Empregado
17,39.0,81179.22940171721,Feminino,1490.378464400453,10.499400316023642,Educação,Estrangeiro,Empregado
18,19.0,98485.54638879836,Feminino,,23.248619099575333,Varejo,Brasileiro,Empregado
19,41.0,143572.91935642922,Feminino,1490.378464400453,28.72671790242055,Educação,Brasileiro,Desempregado
20,61.0,56565.97275942741,Feminino,1490.378464400453,4.976875474075739,Tecnologia,Estrangeiro,Empregado
21,47.0,69906.3434895307,Masculino,,23.98389040176216,Varejo,Estrangeiro,Empregado
22,55.0,72419.82374030296,Feminino,,22.014051153550042,Saúde,Brasileiro,Empregado
23,19.0,100692.26970561035,Feminino,1490.378464400453,20.558217867628322,Saúde,Brasileiro,Empregado
24,38.0,69591.5066300002,Masculino,,27.60492470728032,Educação,Estrangeiro,Empregado
25,50.0,91688.99066246195,Feminino,1490.378464400453,33.49798380333847,Saúde,Brasileiro,Desempregado
26,29.0,,Feminino,,12.919587327074735,Varejo,Brasileiro,Desempregado
27,39.0,113173.19926402545,Masculino,1490.378464400453,35.56048760443838,Tecnologia,Estrangeiro,Empregado
28,61.0,80796.0808140732,Masculino,1490.378464400453,6.425344504742028,Educação,Brasileiro,Empregado
29,42.0,133027.02220927112,Masculino,1490.378464400453,6.920954790046574,Varejo,Estrangeiro,X
30,44.0,94767.53119923286,Feminino,1490.378464400453,10.670882544956957,Educação,Estrangeiro,Empregado
31,59.0,92488.22993777656,Masculino,,4.7812347818831125,Tecnologia,Estrangeiro,Desempregado
32,45.0,29273.470742394773,Feminino,,9.212768987315103,Educação,Brasileiro,Empregado
33,33.0,148336.62254464522,Feminino,1490.378464400453,4.256470516113784,Saúde,Brasileiro,Desempregado
34,32.0,40371.35106620334,Feminino,1490.378464400453,32.87009667941562,Saúde,Estrangeiro,Desempregado
35,64.0,53891.36405345582,Feminino,,5.558759675464984,Educação,Estrangeiro,Empregado
36,61.0,31462.10465519087,Masculino,,29.89190230239427,Tecnologia,Brasileiro,Desempregado
37,20.0,105000.37085461422,Masculino,1490.378464400453,1.9165547165333496,Tecnologia,Brasileiro,Empregado
38,54.0,53087.647121585,Feminino,1490.378464400453,37.9408131005566,Saúde,Brasileiro,Desempregado
39,24.0,47501.304684090435,Masculino,1490.378464400453,28.446403501110645,Tecnologia,Estrangeiro,Empregado
40,38.0,36069.44802790517,Feminino,1490.378464400453,,Educação,Estrangeiro,Empregado
41,26.0,37913.61964050196,Feminino,1490.378464400453,30.554260008008562,Varejo,Brasileiro,Empregado
42,56.0,98083.8375553236,Feminino,,20.56327683064741,Educação,Brasileiro,Desempregado
43,35.0,111025.98323332443,Masculino,1490.378464400453,31.17460681340479,Saúde,Brasileiro,Empregado
44,21.0,74672.37355805012,Feminino,,20.89987235562354,Saúde,Estrangeiro,Empregado
45,42.0,84987.13519900915,Feminino,,25.640994305414186,Saúde,Estrangeiro,Empregado
46,31.0,110745.96699787301,Masculino,,31.45326621580162,Tecnologia,Brasileiro,Desempregado
47,26.0,27172.473773184953,Masculino,1490.378464400453,16.204322183514268,Educação,Brasileiro,Empregado
48,43.0,65391.33213378482,Masculino,,0.10832599281808353,Varejo,Estrangeiro,Desempregado
49,19.0,146637.2185087933,Masculino,,33.99785983780754,Educação,Estrangeiro,Desempregado
50,37.0,97514.02871193351,Feminino,,15.235614504986504,Varejo,Brasileiro,Desempregado
51,45.0,56778.072487186655,Masculino,,19.84170904066332,Educação,Brasileiro,Empregado
52,64.0,90216.25582952664,Feminino,1490.378464400453,0.3106656861587487,Saúde,Brasileiro,Empregado
53,24.0,67831.68601511442,Masculino,1490.378464400453,19.68368041400392,Varejo,Estrangeiro,Desempregado
54,61.0,91530.62360328739,Masculino,,39.45949606286918,Educação,Brasileiro,Empregado
55,25.0,40717.6889758311,Masculino,,11.130706432750785,Tecnologia,Estrangeiro,Empregado
56,64.0,41589.33172740968,Masculino,1490.378464400453,15.816730809695123,Tecnologia,Estrangeiro,Desempregado
57,52.0,42942.7952549241,Masculino,1490.378464400453,27.487599858747064,Educação,Brasileiro,Desempregado
58,31.0,142477.47399085521,Masculino,1490.378464400453,32.591746700946345,Saúde,Brasileiro,Empregado
59,34.0,116612.36479266772,Feminino,,16.695664960244013,Varejo,Estrangeiro,Desempregado
60,53.0,45297.73683279011,Masculino,1490.378464400453,12.386754816051702,Educação,Brasileiro,Empregado
61,57.0,48543.63547070018,Masculino,,37.513031999402685,Tecnologia,Estrangeiro,Desempregado
62,21.0,116353.68435885954,Masculino,,27.08579866686677,Varejo,Brasileiro,Empregado
63,19.0,44520.48059902174,Masculino,1490.378464400453,4.760852179725643,Tecnologia,Brasileiro,Empregado
64,23.0,54320.161666853586,Feminino,,2.757115125385945,Tecnologia,Brasileiro,Desempregado
65,59.0,145418.35410254987,Masculino,1490.378464400453,19.34199403161476,Educação,Brasileiro,Empregado
66,21.0,56913.31559105398,Masculino,,8.803602641890897,Tecnologia,Estrangeiro,Empregado
67,46.0,107704.04379639335,Masculino,1490.378464400453,10.159390135050138,Varejo,Estrangeiro,Desempregado
68,35.0,147328.9109250663,Masculino,,35.10768715311393,Saúde,Estrangeiro,Empregado
69,43.0,71787.09589247408,Feminino,,3.5826409726524266,Educação,Brasileiro,Empregado
70,61.0,27189.49885775778,Masculino,1490.378464400453,28.614564609155586,Varejo,Estrangeiro,Empregado
71,51.0,55518.41130279678,Feminino,1490.378464400453,10.845690135223522,Educação,Estrangeiro,Desempregado
72,27.0,128859.64891771319,Masculino,1490.378464400453,30.413128856165507,Tecnologia,Estrangeiro,Desempregado
73,53.0,133076.1044943796,Feminino,1490.378464400453,28.896455378541784,Tecnologia,Brasileiro,Desempregado
74,31.0,121064.9205654739,Feminino,,0.295676057771721,Varejo,Estrangeiro,Desempregado
75,48.0,39138.727384571626,Masculino,1490.378464400453,20.365416516863966,Varejo,Brasileiro,Desempregado
76,32.0,124438.79646205039,Masculino,1490.378464400453,5.572779295121855,Saúde,Brasileiro,Empregado
77,25.0,139834.72462418803,Feminino,,34.64908122314707,Varejo,Estrangeiro,Empregado
78,31.0,100076.19281827951,Feminino,1490.378464400453,34.863435314496265,Varejo,Brasileiro,Empregado
79, ,142609.4195422581,Masculino,1490.378464400453,16.733832299750322,Educação,Estrangeiro,Desempregado
80,,128354.86046398467,Feminino,,17.775824738043223,Tecnologia,Estrangeiro,Empregado
81,38.0,108371.4396238634,Feminino,1490.378464400453,12.131317576181084,Varejo,Estrangeiro,Desempregado
82,33.0,97148.15458896852,Feminino,1490.378464400453,,Saúde,Estrangeiro,Empregado
83,62.0,68571.70840524632,Masculino,1490.378464400453,14.346454521058366,Varejo,Estrangeiro,Desempregado
84,35.0,,Feminino,1490.378464400453,10.71169898090535,Tecnologia,Brasileiro,Empregado
85,64.0,100619.2403363176,Feminino,1490.378464400453,17.28924238018033,Varejo,Estrangeiro,Empregado
86,41.0,64763.94420226494,Feminino,1490.378464400453,3.659500735498349,Educação,Brasileiro,Desempregado
87,43.0,133304.83344095567,Masculino,,29.864128185768152,Tecnologia,Estrangeiro,Empregado
88,42.0,149167.11716982856,Masculino,1490.378464400453,0.5038560508714784,Varejo,Estrangeiro,Empregado
